rest,rating,reviews
Tim Ho Wan,5,"I still dream about the dim sum from this place! Hands down best dim sum on earth! Probably the only Michelin star dim sum place too. Everything was so incredible, I even liked the pork buns. I would almost fly back to Asia just to eat there again."
Tim Ho Wan,4,"Good, but not great. However, the highly rated items are those for a reason. Baked char siu bao is all you need to order here.  They are a level above the rest, and I've eaten WAY too many in my day (not only because I love them but because I'm Chinese and it's a right of passage). I wanted to be completely wowed by this place since it's Michelin starred, but i wasn't.  If I was giving it a rating on the overall dim sum it wouldn't be high. Here are the reasons.1. Ordinary, run-of-the-mill dim sum I usually get anywhere else wasn't extraordinary here. 2. Shumai stuck together. That's right, the wrappers were so close they stuck. And the presentation on those was lacking. Other than that, like I said, the bao was amazing. The service was quick and friendly. Michelin Star just for the bao."
Tim Ho Wan,3,"Coming to Hong Kong I wanted to be sure to try this place out. So many of my friends had gone before and told me how great the food was. It was just two of us so seating didn't tale too long luckily, everyone around had some pretty big groups of people so I advise going in a smaller group to be able to get seated faster. THE PORK BUNS were amazing. Perfectly made and flavorful and not too hot, but so very fresh. Of course we ordered shrimp dumpling, and shrimp everything. One of my personal favorite is eating shrimp at a dim sum restaurant. The dumplings were good and not too thick in skin. You can find all the typical dim sum categories on the menu, and most of the things we ate were pretty good. Customer service was quick pace, well everything was fast paced as it always is at a dim sum restaurant. If you're in the area, go early, its pretty good. If you're not into the super hyped overly followed restaurants probably not your kind of place, but for the experience why not."
Tim Ho Wan,5,"Their menu does not have all the dim sum dishes you might expect at much larger dim sum restaurants. However, what they do offer, they do very well and at reasonable prices. There's definitely cheaper dim sum to be had in HK, but the flavor and quality of each dish we ordered at Tim Ho Wan was better than any dim sum I could find in 626 (Los Angeles), and that's a tough market to beat.We ordered the following:- Shrimp har gow: skin was perfect! Not too thick and not too thin, neither dry nor gummy in texture. Each piece of shrimp was freshly steamed, it was simple yet great- Lo Mai Gai: sticky rice in lotus leaves, this dish was very tasty and enough to share. I actually think this is done pretty well at most dim sum places I've been to, so I wouldn't say this is significantly better. Order it if you like it though, it's a must :)- Lo Bak Go: Pan-fried turnip cake that wasn't particularly oily, seemed more steamed and light in texture.- Har Cheung fun: shrimp rolled in rice noodle, sooooo tasty!- Baked Char siu Bao: omg these are as good as everyone says! The bun is a bit sweeter than your traditional steamed char siu bao(zi), so eating one is pretty satisfying. It's light and full of flavor, the Pork filling is sooooo tasty!Cash only, and if you're there around 2 or 3pm on a weekday like we were, there was no queue! We really enjoyed this place, but we ended up going to one dim sum after because we wanted to try other dim sum dishes that Tim Ho Wan doesn't offer. Part of me wishes THW has a larger selection, but then the quality my decrease. So I think they've found the right balance. 10/10 would come back again!"
Tim Ho Wan,5,"Dim Sum in HK is solid and Tim Ho Wan is a must visit.  I'll say one thing to order is their pork bun!  Serious crusted on the outside with a warm toasty bun while the pork is steaming hot and moist.  This my friend is a pork bun!I also ordered other items like the vegetable and shrimp dumplings.  They were good too, but another favorite of mines were the pork spare ribs with the rice; I could eat this all day.  The sesame balls here are good too; the filling is definitely fresh not like the ones you get in the US.  In the end, Tim Ho Wan delivers in every way to my palates.  The wait could be long, but they generally have community seating if you're in small numbers.  I came alone so I would recommend keep your group small if possible to get a quicker seating. - Enjoy!"
Tim Ho Wan,3,"FOOD: with a Michelin Star and a reputation to uphold, Tim Ho Wan delivers solid dim sum. Flavors are authentic and food is fresh made. Selection is pretty typical for dim sum fare- things to try of note are the pork buns and flower (perhaps chrysanthemum) gelatinSERVICE: while they do have an English menu, expect local waiters and service. Helps to have a native speaker. Food comes out quick but don't expect your teapot to be frequently refilledEXPERIENCE: Multiple tables that are bustling from open, it's a simple decor with often a very long line. We went on a Thursday lunch at 1145 and had no wait- once we left around 1, the line was 10+ deep.VALUE: almost all dishes are between 15-30 HKD (~$2-5 USD). Definitely the cheapest Michelin fare you will find, aim on 2-3 dishes per person for a full mealSUMMARY: Tim Ho Wan has a reputation for being the cheapest Michelin Star experience around. While probably true, the dim sum itself was fine and long wait meant that I would probably find a less high profile spot for my next dim sum fix. Worth a try though just to say you've done it!"
Tim Ho Wan,4,"Really good dimsum and really low prices! The place is a bit crowded and small, but that's what most restaurants in Hong Kong are like. I don't mind it at all, but it just wasn't expected for michelin star place. I was surprised how quickly they were able to seat us given the huge waitlist and full restaurant. Service was fast, and we finished our meal pretty quickly. I would recommend the baked bbq pork buns with a sweet crust on top. They were so good, but so was everything else we ordered."
Tim Ho Wan,5,"As noted in other reviews, this location of the Tim Ho Wan chain is the cheapest Michelin-starred restaurant in the world. And for the price, it definitely lived up to the hype. This is easily one of the best meals I've had for under US$20 (HK$160) in my life.We visited for a mid-afternoon lunch and the line was long but not outrageously so. The wait was maybe 20-25 minutes. Other reviews have noted the crowds milling around outside the restaurant, which were definitely a pain, but I don't think it's fair to blame the restaurant for that. Hard to find a really good dim sum restaurant where crowds/lines are NOT an issue. People just love good dumplings. Plus it's pretty easy to push through when you need to.Inside, the space is clean and undecorated; plain white walls, plain tile floor, nothing of note. Typical for dim sum restaurants around here. Servers are busy and running around the place, but there are a lot of them and it's easy to call someone over when you need something. Despite the crowds outside, our table was private and fairly quiet. The servers do gently push you to eat your food and leave, but you don't feel rushed or forced out at the end of the meal.As always, the food is the most important thing, and here is where the restaurant shines. Again, for an unbelievably low price, you can stuff yourself full of delicious dim sum dishes to the point where you can barely move. Standouts were the BBQ pork buns, meatballs, and sesame buns, all of which I strongly recommend. But really you can't go wrong with anything on the menu; I loved everything.Overall, a delicious and fantastic experience and one to which I'll definitely return on my next visit."
Tim Ho Wan,4,The dim sum here was hot steamy and delicious. You check off items on a menu rather than the carts coming around. There isn't that wide of a selection but all of the classics are there. It's a great place to go to if you know exactly what you want but if you're looking to try something new you should go somewhere else. It's a great experience though.
Tim Ho Wan,5,Two words: PORK BUNS.Get them! We ordered two orders for the four of us and got an order to go. Everything else we had was pretty delicious as well. I don't think you can go wrong with any of them items offered. It was kind of difficult to flag the employees down after ordering because they're so busy so make sure you order everything you want... and then some! We got there early.. about an hour or so and walked around for a few minutes then got in line and was able to get in with the first wave. A must go in HK!
