rest,rating,reviews
Camper’s,5,"I find their style of food interesting and not something common I would see at restaurants, in particular, the rice sets.I've had beef and egg over rice, as well as the oxtail with vegetables with rice. Both were really good, and large portion sizes. When I was eating the oxtail with vegetables there were a lot of vegetables which I liked, but nearing the end I struggled to finish all my food as I was getting quite full (which says a lot, considering I generally can eat a lot).It gets quite busy for lunch and dinner so I would recommend going a bit earlier if you would like to avoid lines."
Camper’s,4,"Camper's has a simple menu consisting of Japanese curry rice and noodle dishes. My 4 star rating is based on the following:Food: 4 starsService/Environment: 3 starsValue: 5 starsRecommended dish: pork and vegetable curry with riceI have tried both the noodle and the rice sets and the rice dishes are by far superior.  A popular recommendation is the vegetable curry. If you are vegetarian than that is a tasty choice, but if you like meat than order a mix of meat and vegetable curry. The special pork (item 1 on the lunch set) is really good. The pork is fall off the bone tender and you just need a fork to cut the meat. The pork tastes like it is coming from the shank so you get a mixture of meat and tendon. At 69 hkd for the rice set plus a drink it really is a great deal. This place is really small and seating is limited. You will need to share a table with strangers if you eat here. Lots of places in Hong along are like this so this doesn't bother me much. If you want more privacy then this may not be the place forDuring lunch hours you will need to wait so get here before 12 if you don't want to wait in line."
Camper’s,4,Considered among the best cheap eats in the area among the locals. My cousin who lives in the city brought me here during my visit and sweared by the place. Got the slow cooked chicken cartilage with rice and eggs and absolutely loved it. The pork was super tender and juicy and the egg on the rice was a nice touch (this is extra). The meals came out quick as well. This is a very tiny place and they don't take reservations. Expect to wait outside if you arrive early and not all your party is there. It is camping themed.
Camper’s,4,"No frills, reasonably priced for HK restaurant that cooks Japanese comfort food. The veggie dish I had was well seasoned and came with a clear bone broth soup that reminded me of my childhood. The decor is nice and the seating is crowded with a sizeable line outside, but it's worth a 15 min wait."
Camper’s,5,"Cute, stylish Japanese restaurant, and quick service. The pork soft bone is incredibly tender in both the dinner set and the curry."
Camper’s,4,"Not sure where I read the write up on this spot, but my husband and I popped in around 1PM on a Saturday on our way to the Tim Burton exhibition at Taikoo Place.  There was about a 10 minute wait, for they were busy and there is probably seating for about 40 or so inside.  Pretty inexpensive and pretty interesting tasting food that advertises their approach to cooking as ""no additives, more vegetables and minimal fat.""  I had the veggie curry with rice and I would agree that the veggies were bountiful and more varied compared to similar places selling something similar.  Hot, fresh, fast, full of good veggies, affordable and more interesting tasting than your average lunch set...for a pescatarian like me, this check's all the boxes!  They are not doing anything culinarily outside the box at Camper's, but it tastes good and I think the treat is in its simplicity. The ambiance it outfitted for ""camping"" and their theme, which provides some ambiance outside the hospital white wall atmostphere of many easy, asian lunch joints. Staff wearing flannel checkered plaid, cashier wearing a fishing fat, bait and tackle gear on the wall, wooden cabin slats for walls.  They get kudos for a unique little theme...although not sure how it ties into Japanese Curry.  We will go back when we are in the area again."
Camper’s,5,This place was excellent for lunch.  My coworkers and I all enjoyed our dish.  I had the chicken curry with rice and they had ordered the slow roasted pork udon.  You could tell this restaurant takes a lot of pride in their food.  The meal was relatively inexpensive and tasted great.
Camper’s,4,"Camper is probably one of the top 3, if not most, popular lunch places in Quarry Bay. The name doesn't seem at all relevant for a curry restaurant, neither does the Chinese name make much more sense - 坐忘 literally means 'sit and forget'. The origins of the name are torturing me - if someone can shine a light on this please do tell me! While the name is confusing, the direction of the restaurant is definitely not - Camper is run by a Japanese chef who does Japanese ramen and curry (mostly curry I'd say) with a strict emphasis on high fiber, low fat and no msg. I've been here a couple times; usually arrive 12:15pm and wait 5-10mins to get seated. The curry is runnier than usual Japanese curries, more like a thick soup than a curry actually, and it is non-spicy, I wish they would have some chili oil or Tabasco on the side for some discretionary heat. Though the curry is known for being msg-less, the flavor is still quite present. Besides that, the portions are quite generous, and you get a massive helping of vegetables no matter what set you order. There is even a set lunch that is all vegetables. All the rice is mixed with sweet potato, corn and pumpkin for added fiber. Despite being a ramen place, I notice that most people here order curry. 3 stars for the flavors in general, but an extra star for the thoughtfulness in keeping everything healthy. People appreciate that and I think it already shows from the long lunch queue every day."
Camper’s,4,"Visited this place for lunch in a workday. As usual, there will be a 15-20 min wait for a table but ppl go in and out pretty fast for lunch so I think we waited about 15 min. I got the Chicken curry while my formed got the beef curry. The beef curry is more spicy and comes with peppers in the curry while the chicken curry was only a little spicy and came with zucchini, carrots, potato, cauliflower, and lots of green onion, which I enjoyed! The portion was decent sized and the chicken was grilled and pretty tender. However, I found this particular Japanese curry to be pretty bland tasting :( It's a cute little shop and a good place to go if you are trying to get your veggie fill for the day and I guess it's a healthy alternative cuz not much sodium! They also have udon and ramen so I'll give those a try another time."
Camper’s,5,Nice curry of mild spiciness. Consistent cooking through out years. The pork stew is nice too.
Camper’s,1,Customer service is not so great. Very HK style. I didn't appreciate the food. It didn't taste good at all. Although the place was full so perhaps I haven't adapted to HK tastebuds. I certainly don't recommend on returning.
Mr & Mrs Fox,4,"Mr and Mrs Fox is one of the few steakhouses/new American restaurants in the greater Quarry Bay Area.  I have eaten here a number of times and have tried the lunch, brunch, happy hour and dinner. Overall my rating is based on the following:Food: 4 starsEnvironment/service: 4 starsValue: 3.5 starsRecommendations: ribeye steak Happy hour (2 stars):It is really close to my office and is often the place we go to for Happy hour. If I were rating this on the happy hour alone I would give it two stars. The happy hour really doesn't include any finger food items. The drinks are hardly discounted and the selections are really minimal.  Even with the limited alternatives I wouldn't come here for happy hour. Brunch/lunch (4 stars): The lunch menu used to be pretty mediocre. They recently upgraded the menu and also increased the price. The food is good though but do expect to pay above 250 hkd/person. The weekend brunch is one of the better choices in the area. You have your choice of sweet and savory dishes with the price range from 125-200 hkd per entree. Although, the chicken and waffles are popular. I didn't like it very much  and wouldn't recommend. I can recommend ordering the steak salad or the wagyu rump steak. The beat salad is also quite good as well as the bolognese pasta."
Mr & Mrs Fox,4,"Great food, I'm sure brunch is killer. Service was a bit slow but it also more or less matches what I've come to expect in Asia now. Drink menu is good, I also had a lovely tea and Salad. Good food and cool, funky decor. Would be great place for a medium group."
Mr & Mrs Fox,5,"We inadvertently landed in the hands of the wonderful staff of this bar after some confusion from our taxi driver. We were fresh off the plane in Hong Kong and lookin for our hotel, lost and tired, and the staff here treated us so exceptionally well, we can't thank them enough! Now, onto the food and drinks! While we worked out our travel woes, the bartenders whipped us up the most delicious drinks! We tried a wonderful Moscow mule, one of the best I've had, served up with delicious bitters, crushed ice, and garnished beautifully. The Kobusu Sour was next, tangy and citrusy, and oh so refreshing. Last, but certainly not least and my personal favorite, we ordered a couple of The Huntman. I'm a lover of whiskey and this drink was sooo tasty, smooth, faintly sweet, and faintly smokey. It was top notch! We also tried a pasta dish with bolognese sauce and a delicious burger specially created by their chef. Despite the accidental nature of our visit, we were beyond happy with our experience and we'd recommend everyone to stop in here for the great service and food/drink!!"
Mr & Mrs Fox,4,"Friday night with the girls - we were ready to get foxy! Venturing out to Quarry Bay is new for us but we were adamant to break out Central Cycle and get out of the box (and into the fox). After a somewhat disastrous uber ride (mainly fuelled by heat rage and pregnancy hormones (my two pals not me!) of trying to actually find the uber) we rolled up to a street that reminded me of being back in London, maybe along Canary Wharf or Friday drinks in Covent Garden. With bars and punters stretched out onto the pavements, twinkle lights above the road and the atmosphere filled with relaxed vibes and noisy chatter, that friYAY feeling was definitely in the air. Walking through the bar area of Mr and Mrs Fox, we were passing business folk who were unwinding after a long week. It's very gweilo friendly, and clear that the banks are being driven out of central and are relocating to Quarry Bay / Tai Koo Shing. The decor is modern with that wooden rustic hipster feel and iron work with pumping music - I was a little worried we'd be straining ourselves over dinner again. We were shown up to the second floor where our table was. What impressed me the most was the size of the restaurant. It looked like it stretched to the third floor too... And it was busy. By the end of our meal, they had turned over the tables around us as least once. The music up here was quieter and we could catch up on goss beautifully. The menu is small, and the waiters advised that some plates were also small. We order some cheese and charcuterie to start. The bread was super tasty, crunchy and served with olive butter (could do with a little more salt). I ordered the grouper as a main. Delicious. Perfectly cooked with a hint of spice that added a layer of heat to the plate without overpowering. We ordered sides of spinach, fingerling potatoes and summer vegetables to share. The summer veg won the game with a hint of sweetness and roasted char. The fingerling potatoes were a bit of a disappointment and more of a diced potatoes salad than anything else. Desserts all also fun to munch. Highly recommend the baked Alaska. It's not only a delight on the taste buds with the peanut / marshmallow / rum combination, but watching it catch fire and dance with blue flames so fun! Our other pudding was not not so much fun. Featuring a pea sorbet that tasted like ice mushy peas was not my favourite - though it did bring out a fantastic line from a pal ... ""I kinda like the pea-ness"" (say it out loud and get your mind in the gutter). A nod must be given to the most fun prosecco glasses available. I felt so 1950s glamour supping babycham all night. The glass ware wins a star on its own!"
Mr & Mrs Fox,1,my mains' fish was raw ! That pretty much sums up my experience at Mr and Ms Fox . No matter how interesting the atmosphere and entree were . You should never serve raw!!
Mr & Mrs Fox,4,"We arrived at noon for brunch. It was still pretty empty then on a Saturday, but it was quickly busy by the time we were finishing up.Brunch set (2 course) was $160 and didn't include drinks. Some items are additionally charged, such as the truffle scrambled eggs a with toast.I really liked how the courses were arranged. The starters were mostly healthy cold options like homemade yogurt, muesli, oatmeal or fruit. The main courses were anything from salads to eggs to burger and pasta! It's a brunch menu that's easy to please everyone.I had the muesli and quiche with rocket salad, and my companion had the homemade yogurt and truffle eggs. Quiche was soooooo cheesy! And rhetoric truffle eggs so flavorful! Homemade yogurt was very creamy with the right crunch of granola on top! I had the blood orange lemonade which looked amazing but wasn't something I'd write home about.Overall great experience, love the decor. They were a bit short staffed a bit later in our session but no big complaints there. Only I thought that it came out to be a bit on the more expensive side considering the portions and what was offered. It was good but not like WOW! I NEED TO COME HERE AGAIN. That being said if I ever needed a nice brunch place and didn't want to travel far, I'd come here again as I live only a walking distance away."
Mr & Mrs Fox,4,This was recommend to me by a food blogger I know whilst I was visiting Hong Kong on business.  As I was staying 5 mins away I thought I'd visit for dinner.Went on a Tuesday night around 9pm.  Had a nice buzz and atmosphere about it but wasn't too loud or busy.  As I wanted something to eat they quickly got me seated in a upstairs table.Ordered a pint and then the rib eye with mashed potato.  Beer was good and the food was quick and tasty.  Nice touch by the waiter gifting the beer to me as it turns out I now live in his hometown in the U.K.!Not too pricey.  Would go back when next in HK.
Mr & Mrs Fox,4,"I came here over the holidays to check out the area with a friend.  We stopped into Mr & Mrs Fox for a drink in the happy hour time frame.  Mulled wine was our drink of choice!  I kind of like they even had mulled wine as an option.  It was brewed up that day and full of spices and Christmas cheer!Mr & Mrs Fox is a large, welcoming, modern space with a friendly staff and a welcoming warm wood feel.  Clearly popular on the hip Tong Chong Street, this spot is probably one of the best spots in that area based on design and look alone.  Lots of outdoor seating that is more geared toward the drinking crowd versus the dinner crowd.  Although we only had drinks, I would go back for a meal...because the mulled wine was that good!"
Mr & Mrs Fox,4,"I've been here a couple of times and although it's a little pricy, the food is pretty good and the interior of the restaurant is very vintage and chill! The upstairs I believe is reservation only and has more of a fine dining type menu. The downstairs is for casual lunch/ dinner with tapas and other small plates. I've gotten the burger a couple of times which is a pretty filling meal for the price! The seasoned fries are delicious as well! The aged steak here is also pretty good! Usually for lunch they have a set menu where you and mix and match a starter and a main. They also have outside seating as well. I've never been here for HH or drinks but I always see plenty of people here enjoying drinks and snacks after work!"
Mr & Mrs Fox,5,"Just got an early taste of Swire's latest gig on a ""multi-level dining experience"".For one thing that Swire always does right, it's the decor and the vibe. And in Mr & Mrs Fox that's excellent. You feel right sitting at any spot of the restaurant. The main bar at the center of the restaurant is very welcoming too. The other thing that earned a star in my mind right away - they haven't had the liquor license yet, so instead of telling the customers ""sorry, but please order one of these mocktails."" like all other restaurants would do, they offered complimentary drinks upon ordering food. Well, certainly, we saw some freeloaders there, but the arrangement actually made us felt very good. They were only serving one red wine (pinot noir, which is my favorite but a lot of people will find it too pale) and one white wine (sauvignon blanc). But you could also pick three different kinds of Young Master ales on tap (hipster alert), or get one of their special cocktails. The food was very good, despite the fact that the choices were very limited. The ground floor is supposed to be the ""bar area"" and the second floor as the proper sit-down restaurant and the third private kitchen (and hence,  ""multi-level dining experience""). So we essentially ordered all most of the menu items here to feed a table of 6.The assorted hams and assorted cheese were very good. You could tell that it's not a ""menu placeholders"", but both carefully selected that ham lovers and cheese lovers would like to see and taste. I liked the deep fried squids and mussels too. Staff were nice and friendly - definitely giving you the Soho/expats vibe, as more and more restaurants in Quarry Bay are doing as well.The two hiccups (few menu items + freeloaders occupying the table) will most likely be resolved by grand opening, and I'd definitely come back again for a proper dining experience."
Mr & Mrs Fox,2,"The restaurant is still in soft launch, so one would expect some rough edges in service and facilities. During this period (until Sept), it is half price, so quite good value. However, the portion is quite small, it would seem to be expensive if at full price. The food quality is quite good though. The lamb sausage was flavourful. The pork bun quite juicy."
Mr & Mrs Fox,4,"This is a nice addition to the Tai Koo Place in the Quarry Bay neighborhood. It opened only last year and become a popular spot in this area.On the ground floor you will find the huge bar area, neatly designed and with nice modern and rustic decor. There's a also a small outside seating area if you prefer. Service is fine as long as it's not packed, it can get slow by then. We came on a weekday at around 7 and the place started filling up. They have a nice drink list including a good variety of beer, good wines by the glass and innovative cocktails. If you want something to nibble to go with your drink try the cold cuts or the Korean style chicken wings. The wings come conveniently boneless and are really tasty!After drinks we headed up to the first floor to be seated for dinner. The main dining room is spacious, service is attentive, friendly and very knowledgeable. They have a decent wine list suiting every budget. The food menu is not huge, with interesting, tasty and innovative dishes. If you like oysters they have a decent selection and they are really very fresh! My favorite appetizer was the hand cut tartar and for main the Tomahawk steak, which is a 42 oz piece of beef cooked to perfection. Leave room for dessert especially for their bomb Alaska and their ice cream / sherbet selection. Mr. and Mrs. Fox is not cheap but good value for money!"
Mr & Mrs Fox,4,"After a few months of silence on Yelp, I am glad to come back with a positive review! I went for dinner with three more to Mr & Mrs Fox last night and I was not disappointed. The expectations were high though. The atmosphere and the deco are great - Mr and Mrs Fox doesn't lack space (being its own landlord helps). It's open, sleek and welcoming. We went straight to Mrs Fox for food (second floor). So now, on to the food - we ordered a few oysters and the Iberico pork collar. As starters, they were good, the oysters not very strong in taste and rather small and the meat was well paired with the other ingredients, although a rather small portion. For mains we ordered the T bone and snapper with two sides, broccoli and fries. It was all gone in a matter of minutes...the T bone is actually not as big as we expected so we went on to order the 16oz bone in streak steak. That was probably the star on the table - the meat so tender and fatty, it was melting in the mouth. I'd normally go for medium rare of medium, but the guys ordered this one rare which turned out to be a oh yes!At that point, I was pretty much full, having indulged myself on the cheesy broccoli side which happened to be in front of me and wow, even though it's a side, it is 'the side' you have to order! Combined with the meat, really great. Two of us ordered dessert, nicely presented but I can't comment as I didn't try. All in all, its a nice place, a little far from our neighbourhood, but surely one we will visit from time to time. I don't think the prices are ridiculous, compared to other places of the like in Hong Kong. For all that we paid around 1500. The staff is helpful and it is a truly nicely done place. Yes, I do recommend!"
Mr & Mrs Fox,3,"Despite sounding more like a Disneyland ride, Mr. and Mrs. Fox delivers a palate changing roller coaster ride. During their soft opening, 50 percent off the entire menu plus free alcohol drink. @professorsavings approved. Known as a one shot wonder, I had a slight splash of gin mixed with some fruity fruity mix. Refreshing my palate, the sea sweet oyster opened my appetite along with plump shrimp with ample roe. The main actor did not disappoint.Soft bun hugged moist beef cooked just right on medium rare. Slight nutty notes from melted cheese finished the perfect bite. Fries were on point but needed a bit of seasoning. Imported premium ketchup makes you do the sweet and tart tango. Hip hop through steel doors and be welcomed by a wooden interior that is inviting, modern, and hip."
Mr & Mrs Fox,4,"Friendly staff, great beer, food and music. The burger was excellent. Good value too."
Mr & Mrs Fox,5,"First impressions: friendly waitstaff, very large space, prices are a bit high for quarry bay, even given the area (right near Newsroom and other restaurants).Good environment.  Waiter was transparent about the fact that some of the portion sizes are not very large.Good lighting due to all of the windows.  Next time I will go to the second floor for the view, though not expecting a tremendous view since it's across from tall office buildings.Good interior design.  Everything looks new.I'll walk you through my experience (in case you're interested, if not feel free to skip to my one line summary below)Ordered a latte and it came in a glass mug - I'm not especially fond of these glass mugs, since whatever's inside always seems to cool down much faster than ceramic mugs.  However, the latte itself was good.  Flavor is great - temperature could be a bit warmer.  They give you individually packaged sugar cubes.. sanitary, but not entirely environmentally friendly.  I'd personally prefer just a tub full of sugar, but I'm nit-picking.Place is filling up, though there are still a few tables left on ground floor and it is prime lunch/brunch hour.  In their defense, they just opened.  During the working week, I'd expect this place to be packed since it's so close to Swire's offices.Ordered the pressed reuben sandwich.  This was VERY good.  Just the right amount of spice, oil, salt, corned beef and cheese (gruyere).  AND, it was served on a beautiful piece of marbled wood - they were either really trying to impress me (I'm a woodblock printmaker-someone who appreciates this sort of thing) or they got lucky ;).  Either way, it definitely added to the experience.I don't usually give out 5 stars, but this deserves an exception.Pros:Great lighting, friendly staff, great decor (esp. the wood my food was served on) and an outSTANDing reuben sandwich.  I'll be coming back with friends.Cons:A bit pricey for Quarry Bay, but great when you're trying to impress someone :)"
Shugetsu,5,"I went to Shugetsu when I was on vacation in Hong Kong. Their Michelin guide rating was totally earned! Everything came out in a timely fashion and the portions were relatively large. Their pork was different in that it was grilled, but it was still good!"
Shugetsu,4,"We were in the north point area looking for something a bit different. Shugetsu didn't disappoint us. The food was great! The space is a bit tight, as all seats are at the bar, and seemed to fill up quickly after we arrived."
Shugetsu,5,"This place is Michelin recommended for a reason. Never disappoints because:-amazing food- I usually get the original with 300mg worth of noodles and extra cha siu-fast and excellent service-cozy and small-accepts Octopus card-very affordable for a restaurant in Soho/centralThe dipping broth is just impeccable. They give you choices of hot/cold noodles, and 100/200/300mg worth of noodles (all the same price!), options for extra ingredients. The seating could be a little awkward if you're going with a big group of people, as the seats are in a row (ramen bar style-sort of)But it's nevertheless a great, budget-friendly dining experience"
Shugetsu,5,"good just like the one in central, and the main solid lunch spot for around taikoo place.  ordered some dumplings with the tsukemen (standard 200g, signature tangy savory dipping sauce), but these were on the sweet side and needed more soy vinegar."
Shugetsu,4,"Not many eateries open on weekends, and therefore not many good choices if you want to eat out around Taikoo Place the office area on weekends. Luckily this ramen place was open when we were wandering for food last week. We always go to the one at Central / Sheung Wan, and it has been one of our all-time-favourite ramen places. We have ordered the signature tsukemen and the ""shrimp oil mixed noodle"". Both of them were very yummy. They were able to keep the same standard as the Central shop. The noodle is chewy and the soup is thick, while the mixed noodle is oily and fatty (I like it:P). Will definitely come more often."
金峰靚靚粥麵,5,"So happy that this is the first and last meal of my short stay in Hong kong. I have to say , this is one of my flavourite porridge/ congee place in Hong kong. Being the fact that it is only 5 min walk from my mom's flat. It is definetly much better than the 1 michellin star congee place Ho Hung Kee to me. I felt like the original small local food boutique are getting harder and harder to find. This is a great local store. How do you know is local? There is no English menu. My absolute flavourite is the pork blood dried scallop congee. Coming from the US, nothing come close to the pork blood in Hong kong. Slightly tender skin with soft, melting inside, moist and jello. I know it might sounds gross, but it's an acquired taste. Sometimes I get their fish fillet congee, it is made from fresh fish fillet , not the frozen ones from the state, so there is going to have small fish bone. It's as fresh as you can get.I also enjoy their rice paper rolls ( cheung fun) , but i would most like to order it only if i dine in. The sauces that they let you take home with just doesn't taste the same. The peanut sauce and the sweet sauce. It's much better if you eat there.Another thing you should know is, avoid going early in the morning before work hours and lunch, oh and weekend. There will be lines for both dine in and togo. So plan accordingly."
金峰靚靚粥麵,4,"Quick and simple meal for one or five. This place is small so expect to share your table with someone else. No English language menu here so strictly for patrons who understand the local language. Three main dishes here- congee with variety of protein, rice noodle with a variety of protein and simple soy fried noodle. They don't mean to be rude but most people who come here know what they want so the wait staff will hover over you expecting you to spew your order. Your order comes out quickly so turnover is fast and cash only.We ate two different variety of rice noodles wrapped in dried shrimps and fried dough. Drank hot HK coffee and iced milk tea. Very satisfying."
金峰靚靚粥麵,5,"This little mom and pop restaurant has the best traditional Cantonese congee (粥), plain rice noodles (齋腸粉), and doughstick rice noodles (炸兩). To quote Goldilocks, ""the congee is just right,"" not too watery and not too thick. The rice noodles are smooth, and the doughstick rice noodles are crunchy and not oily. During a one month visit to Hong Kong, I've gone there for breakfast at least 10 times. The place is a little small, only 4 tables that fit around 5 people. However, the turnaround time is pretty fast. I usually visit some time between 9:30am-11am and have never waited more than 15-20 mins."
金峰靚靚粥麵,5,Great food. Fast service. I suggest you take a look at the menu before your number is call and get seated. Lady at front door is very nice and has great crowd control skill!
金峰靚靚粥麵,4,"I LOVE steamed rice roll to the point that I can eat that everyday for breakfast. Trust me in Toronto, it is not easy to find well made steamed rice roll.I LOVE pig blood congee! (I probably should not be eating that everyday)Trust me in Toronto, it is IMPOSSIBLE to find a bowl of well made pig blood congee.The line up at 金峰靚靚粥麵 was manageable on a Saturday morning. And to think the takeout line was twice as long?! I can assure you that it worth the wait!Steamed Rice Roll with green onion and dried shrimpSteamed Rice Roll with beefAnd of Course Pig Blood Congee (the aroma of rice and the perfect texture of pig blood cube!)Now this is the rice roll I have been dreaming about since I came back to Toronto. They are that good!The restaurant itself is small and crowded. Expect to share tables. The lady that runs the restaurant is efficient, friendly and no nonsense. It is just so much fun watching her shouting out orders and making sure everything and everyone are in their right places."
Public,4,"The public food court is located on the 37th floor in the one island east building. I come here on rainy days and when I want a snack. My review is based on the following:Food: 3 starsView: 5 starsConvenience and variety: 4 starsRecommendations: Bombay fish curryThey have a wide variety of offerings. There is a table service restaurant, coffee bar with salads and quick bites, pasta bar, meat carving station,  Indian, and pan Asian food. I typically will take a look around and end up ordering something from the Indian stand. Both the chicken tikka and Bombay fish curry are good. The portions are quite generous so you will definitely not be hungry afterwards. You have a choice of either rice or naan. The naan isn't the best and I would recommend going with the rice.I have had the meat carving station a few times and don't find it to be very good. It looks better than it tastes similarly to when you go to the carving station at the buffet. The view here is really awesome. You get a panoramic view of the Victoria harbor and the neighboring mountains. Definitely would recommend to come by for a quick meal and to enjoy the view."
Public,4,"Although Public may seem like one of those office building restaurants that you go to just because that's the only choice, I find that Public's food quality is actually rather high. It wouldn't say it's the most affordable thing to eat, but it's definitely a step up from your run-of-the-mill Hong Kong style cafe in the Quarry Bay area. I also appreciate that they have seasonal food. For example, because we are in the holiday season they actually serve turkey.Normally I just grab and go from Public, but this time around I actually sat down to eat. I ordered their sous vide turkey breast with chestnut stuffing. The turkey breast was tender and not dry at all. The little balls of deep fried stuffing were also delicious. One of my friends had the burger, which looked amazing, and my other friend had the lobster linguine, which also looked fantastic. One of my favorite things about this restaurant is the view. It's located on the 37th floor of One Island East so it has an incredible view of Hong Kong Island, Kowloon, and Victoria Harbour in general.My lunch was $150 and it came with a coffee or tea. I believe an appetizer could be added for about $50. A cool tip about this place is that if you come here after 17:00, all of their grab and go food is 50% off!"
Public,5,"Favorite lunch place when in the area. View is amazing since its on the 37/F, food is amazing quality especially when comparing to stuff around the area because its pretty bad around, and prices are reasonable (55$ for a salad with three choices, and it has meat). My company has an office location here, whenever I'm in the building this is my go-to. Salad is a popular option, but they have a variety of western hot food, an indian food corner, sushi, soup noodles, and chinese bbq. All look great, can only speak towards the salad though. Fresh ingredients, none of the options are too saucy and they have a little zing to them from the lemon they put. Barley and the pasta are my two favorite choices from the salad bar."
Public,4,"Missed Connection on 11th April 2016, 12:15pm:You were wearing a white blouse and black skirt and I was wearing light grey suit and a blue tie with speckles of my hastily consumed cream of mushroom soup ($15), which was a bit heavy on the cream and low on mushrooms.You sat across from me at the family style table because at lunch time, though the seating is ample, the place is an absolute zoo.  Maybe people come for the beautiful views that you get from the 37th floor, or maybe it's just super convenient if you work in One Island East.  I know I go for the same reasons.I saw you looking at my sandwich.  That's OK, it was a really nice sandwich of surprisingly flavorful pate with lettuce, tomato, and mayonnaise, all between a pleasantly squishy demi-baguette ($55).  Were you surprised as I was to find such a bold sandwich combination at a rather sterile looking place such as Public?  That's OK, I am always pleasantly surprised by the somewhat unconventional menu at Public.  Yesterday I had the corned beef and emmental mini-baguette ($30) which was surprisingly filling despite its small stature.  I'm afraid the mushroom soup was still pretty weak.You were eating the pick-three salad combo ($55), which is my favorite thing at Public.  Today it was fresh heirloom cherry tomatoes, roasted veg, and penne with peas and pesto.  It was lovely..  I hope you'll agree with me in thinking that Public is one of the best places to lunch in the area.  Signed,Chris H"
Public,4,"Public is a hidden gem in Quarry Bay, nestled in One Island East the business building, you will easily miss out this place, especially there is another one on ground floor and Pacific Coffee just the opposite.  Arrived to the 37th floor with fast speed lift, you feel like you are in Sky100. They are similar with down-to-ground window, comfortable sitting area and stunning views, but you pay like hundred sixty there and none here. Yes, none, basically Public is a cafe and deli, so you are welcome to sit and have your own food, serving youself with view to Victoria Harbor, Lion Rock and Tseung Kwan O.The coffee is not superb, but they have enough to offer includes a good drink list. Try to avoid coming in lunch time, will be packed with all businessmen."
Public,4,"One Island East is a skyscraper in Quarry Bay run by Swire Properties, and in the building are hundreds of hungry office workers. Business-savvy Swire would never miss an opportunity, and so, their concept was born - Public! There are actually 3 Publics in the building, one Public on the ground floor, then Public the restaurant and Public the deli both on 38/F. All of them cater to the lunch crowd. This review is for the Deli on 38/F.The food is actually quite typical, sandwiches, salads and pasta, at decent quality and all in easily take away-able packaging. In addition, they also have hot food counters serving curry, roasted foods and chinese, depending on the menu that day. The price is similar to a Simply Life, which is slightly below the $100 mark.  Affordable and extremely convenient for people who work inside the building.  Public closes at 6pm, so is obviously a lunch-only place, they do not aim to be the next Michelin restaurant, but the concept is clear: a good place to have a lunch BREAK: The area is spacious, seats are self serve and almost every seat gives you a sweeping view of the lush green hills behind Quarry Bay or a panorama of Victoria Harbor. You will get a true sense of the word ""break"" here. Besides that, there is also a foosball table, which I presume is a well-appreciated installation, from the giggling office ladies playing with it, and for the really nervous people, there is a gigantic stock ticker and news display rolling across the top of the entire deli.Overall, a decent place to buy takeaway or to chill during lunch. But be mindful of being overheard - remember that the restaurant almost exclusively serves people working in One Island East - today I bumped into my company Chairman grabbing a salad here!"
Public,4,"Public is a great place to come and take your lunch break! Although be warned, if you come during peak hours you might not find a seat! Public serves a variety of food and they have different menu items each day. It's kinda like a cafeteria style place where you can choose your meal. It reminds me a lot of Whole Foods and their food is pretty decent! I love the Indian curry here! The chicken tikka and tandoori are pretty good and they do a pretty good veggie korma as well. I've also had the lamb roast before which is pretty good! They also have a sushi/ udon section as well as an Italian section which I have yet to try! If you get a drink with your meal it usually costs about 100hkd. Overall a great casual place to come eat if you are too lazy to walk outside of your office building!"
Public,3,"Went for brekkie before work, nice view, chic and atmosphere.  Not much variety in my opinion given it only does brekkie and lunch.  The food is actually not bad but then nothing special, when comparing to Sydney standards, a 3 star (which is how I do my rating) but if compare to other HK restaurants, a 4star seems fair."
